ID Игры;дата;турнир;команда;ID Игрока;сезон;Место;min;З2;Б2;З3;Б3;ЗШТ;БШТ;Чуж щ;Св щ;РП;Ф;ФС;Пт;Пх;БШ;БШНА;ЭФФ;+/-;ОЧКИ;ИГРЫ;ИС;СЧЕТ
1057;05.10.2017;1;29;81;17;1;27:55:00;5;6;2;7;3;4;;1;5;;7;3;;;;15;21;19;1;1;88:77
1057;05.10.2017;1;29;172;17;1;21:46:00;1;3;0;3;7;8;;3;7;3;6;1;2;;1;14;5;9;1;;88:77
1057;05.10.2017;1;29;176;17;1;23:57:00;2;3;;;4;4;2;6;2;1;5;1;1;2;;19;22;8;1;1;88:77
1057;05.10.2017;1;29;103;17;1;10:30:00;2;2;;;1;2;;1;2;;1;1;2;1;;9;8;5;1;;88:77
1057;05.10.2017;1;29;173;17;1;16:03:00;0;1;1;3;;;;4;2;3;;1;;;;5;11;3;1;1;88:77
1057;05.10.2017;1;29;113;17;1;11:01:00;;;1;2;;;;3;2;3;;2;;2;;7;13;3;1;;88:77
1057;05.10.2017;1;29;124;17;1;21:20:00;;;3;3;;;;4;1;1;1;2;;;;12;10;9;1;;88:77
1057;05.10.2017;1;29;174;17;1;23:40:00;1;2;0;3;;;2;;1;1;2;2;;;1;-1;3;2;1;;88:77
1057;05.10.2017;1;29;161;17;1;2:38:00;;;0;1;;;;;1;;;;1;;;1;3;0;1;;88:77
1057;05.10.2017;1;29;171;17;1;19:48:00;1;1;4;5;;;;2;;3;;;4;;;19;26;14;1;1;88:77
1057;05.10.2017;1;29;175;17;1;16:28:00;4;4;;;1;1;;3;;3;1;;;1;;13;21;9;1;1;88:77
1057;05.10.2017;1;29;156;17;1;4:54:00;1;2;;;0;2;;1;;;1;;;;1;0;-3;2;1;;88:77
1058;09.10.2017;1;11;81;17;0;27:11:00;4;8;3;8;3;3;;2;5;2;3;1;;;2;17;25;20;1;1;88:77
1058;09.10.2017;1;11;172;17;0;21:36:00;4;4;1;4;3;3;1;4;4;3;3;1;2;;;21;28;14;1;;88:77
1058;09.10.2017;1;11;173;17;0;25:26:00;4;4;5;6;1;1;;2;3;2;2;2;2;;;28;32;24;1;1;88:77
1058;09.10.2017;1;11;103;17;0;9:57:00;1;3;1;2;4;4;;1;2;4;3;1;2;;;10;9;9;1;;88:77
1058;09.10.2017;1;11;176;17;0;21:54:00;3;4;0;1;2;2;1;2;2;1;2;1;;3;;13;22;8;1;1;88:77
1058;09.10.2017;1;11;174;17;0;10:08:00;;;1;1;;;;2;2;1;;;;;;7;-3;3;1;;88:77
1058;09.10.2017;1;11;171;17;0;18:27:00;1;1;3;3;;;;1;1;1;;1;1;1;;14;17;11;1;1;88:77
1058;09.10.2017;1;11;175;17;0;19:52:00;3;4;0;1;1;2;3;4;1;;3;1;1;;1;12;28;7;1;1;88:77
1058;09.10.2017;1;11;124;17;0;17:23:00;1;2;0;3;;;;;1;1;;;;;;-1;9;2;1;;88:77
1058;09.10.2017;1;11;179;17;0;18:06:00;2;5;;;2;2;;3;;;1;1;1;1;1;7;18;6;1;;88:77
1058;09.10.2017;1;11;113;17;0;10:00:00;;;;;;;;1;;;;;2;;;4;15;0;1;;88:77
